1000	10	1	5	0	89865
1000	100	1	5	0	858721
1000	1000	1	5	8	570317
10000	10	1	5	29	708870
10000	100	1	5	304	938262
1000	10	1	5	0	85940
1000	10	2	5	0	43492
1000	10	4	5	0	45904
1000	10	8	5	0	35587
1000	10	16	5	0	79510
1000	10	32	5	0	19444
1000	100	1	5	0	858199
1000	100	2	5	0	434047
1000	100	4	5	0	223381
1000	100	8	5	0	221763
1000	100	16	5	0	155643
1000	100	32	5	0	139848
1000	1000	1	5	8	548465
1000	1000	2	5	4	299483
1000	1000	4	5	2	192733
1000	1000	8	5	2	173524
1000	1000	16	5	1	137085
1000	1000	32	5	1	165778
10000	10	1	5	29	696247
10000	10	2	5	15	193450
10000	10	4	5	8	881206
10000	10	8	5	6	135611
10000	10	16	5	4	581121
10000	10	32	5	4	507313
10000	100	1	5	304	601528
10000	100	2	5	152	617009
10000	100	4	5	76	427595
10000	100	8	5	56	845172
10000	100	16	5	30	118970
10000	100	32	5	31	215620
10000	1000	1	5	3048	151555
10000	1000	2	5	1524	701284
10000	1000	4	5	762	936616
10000	1000	8	5	382	667487
10000	1000	16	5	283	846561
10000	1000	32	5	290	974683
1000	10	1	5	0	85957
1000	10	2	5	0	43441
1000	10	4	5	0	29892
1000	10	8	5	0	28293
1000	10	16	5	0	95921
1000	10	32	5	0	25953
1000	100	1	5	0	857707
1000	100	2	5	0	431171
1000	100	4	5	0	221386
1000	100	8	5	0	222274
1000	100	16	5	0	210529
1000	100	32	5	0	167961
1000	1000	1	5	8	551287
1000	10	1	5	0	85913
1000	10	2	5	0	43520
1000	10	4	5	0	34691
1000	10	8	5	0	20191
1000	10	16	5	0	92498
1000	10	32	5	0	19112
1000	100	1	5	0	858082
1000	100	2	5	0	431186
1000	100	4	5	0	222851
1000	100	8	5	0	257043
1000	100	16	5	0	202719
1000	100	32	5	0	155616
1000	1000	1	5	8	552131
1000	1000	2	5	4	300526
1000	1000	4	5	2	193465
1000	1000	8	5	2	150938
1000	1000	16	5	1	136145
1000	1000	32	5	1	151109
10000	10	1	5	29	676632
10000	10	2	5	15	177550
10000	10	4	5	8	864484
10000	10	8	5	6	122365
10000	10	16	5	4	555823
10000	10	32	5	4	504305
10000	100	1	5	304	607546
10000	100	2	5	152	608108
10000	100	4	5	76	409624
10000	100	8	5	57	226914
10000	100	16	5	31	515621
10000	100	32	5	31	294487
10000	1000	1	5	3048	57185
10000	1000	2	5	1524	758103
10000	1000	4	5	764	233793
10000	1000	8	5	410	201796
10000	1000	16	5	283	394305
10000	1000	32	5	291	436088
1000	10	1	5	0	86170
1000	10	2	5	0	43717
1000	10	4	5	0	30396
1000	10	8	5	0	24109
1000	10	16	5	0	130702
1000	10	32	5	0	18983
1000	100	1	5	0	858035
1000	100	2	5	0	432454
1000	100	4	5	0	222810
1000	100	8	5	0	231142
1000	100	16	5	0	190603
1000	100	32	5	0	142470
1000	1000	1	5	8	550975
1000	1000	2	5	4	300754
1000	1000	4	5	2	189392
1000	1000	8	5	2	176835
1000	1000	16	5	1	155701
1000	1000	32	5	1	153115
10000	10	1	5	29	675757
10000	10	2	5	15	174676
10000	10	4	5	8	864285
10000	10	8	5	6	123486
10000	10	16	5	4	556029
10000	10	32	5	4	514244
10000	100	1	5	304	612987
10000	100	2	5	152	608089
10000	100	4	5	76	414880
10000	100	8	5	39	779700
10000	100	16	5	31	500792
10000	100	32	5	31	382189
10000	1000	1	5	3048	150061
10000	1000	2	5	1525	132765
10000	1000	4	5	762	908673
10000	1000	8	5	408	427856
10000	1000	16	5	283	169292
10000	1000	32	5	290	673547
1000	10	1	5	0	85889
1000	10	2	5	0	43733
1000	10	4	5	0	45592
1000	10	8	5	0	27646
1000	10	16	5	0	71601
1000	10	32	5	0	19041
1000	100	1	5	0	857772
1000	100	2	5	0	435926
1000	100	4	5	0	222583
1000	100	8	5	0	219796
1000	100	16	5	0	200207
1000	100	32	5	0	162950
1000	1000	1	5	8	551123
1000	1000	2	5	4	302395
1000	1000	4	5	2	196230
1000	1000	8	5	1	162813
1000	1000	16	5	1	164417
1000	1000	32	5	1	163878
10000	10	1	5	29	676884
10000	10	2	5	15	175085
10000	10	4	5	8	866409
10000	10	8	5	6	122327
10000	10	16	5	4	593431
10000	10	32	5	4	500763
10000	100	1	5	304	572323
10000	100	2	5	152	617538
10000	100	4	5	76	414941
10000	100	8	5	57	380140
10000	100	16	5	31	836474
10000	100	32	5	31	868697
10000	1000	1	5	3049	888080
10000	1000	2	5	1530	23988
10000	1000	4	5	764	344008
10000	1000	8	5	394	963254
10000	1000	16	5	284	56685
10000	1000	32	5	294	331756
1000	10	1	5	0	86285
1000	10	2	5	0	43773
1000	10	4	5	0	35089
1000	10	8	5	0	52402
1000	10	16	5	0	68923
1000	10	32	5	0	19176
1000	100	1	5	0	858525
1000	100	2	5	0	434620
1000	100	4	5	0	223901
1000	100	8	5	0	221690
1000	100	16	5	0	189370
1000	100	32	5	0	127646
1000	1000	1	5	8	563006
1000	1000	2	5	4	338631
1000	1000	4	5	4	311066
1000	1000	8	5	2	180755
1000	1000	16	5	1	196163
1000	1000	32	5	1	157906
10000	10	1	5	29	700999
10000	10	2	5	15	217106
10000	10	4	5	8	893459
10000	10	8	5	6	138465
10000	10	16	5	4	588425
10000	10	32	5	4	513917
10000	100	1	5	304	787872
10000	100	2	5	153	9603
10000	100	4	5	76	552904
10000	100	8	5	57	68978
10000	100	16	5	30	200149
10000	100	32	5	31	625215
10000	1000	1	5	3050	217717
10000	1000	2	5	1530	395356
10000	1000	4	5	764	366993
10000	1000	8	5	384	475358
10000	1000	16	5	283	359653
10000	1000	32	5	291	779817
1000	10	1	5	0	86125
1000	10	2	5	0	43620
1000	10	4	5	0	28673
1000	10	8	5	0	20267
1000	10	16	5	0	88771
1000	10	32	5	0	18982
1000	100	1	5	0	857789
1000	100	2	5	0	433588
1000	100	4	5	0	222916
1000	100	8	5	0	249231
1000	100	16	5	0	161171
1000	100	32	5	0	142892
1000	1000	1	5	8	550594
1000	1000	2	5	4	321129
1000	1000	4	5	2	198551
1000	1000	8	5	2	126966
1000	1000	16	5	1	146062
1000	1000	32	5	1	158753
10000	10	1	5	29	680059
10000	10	2	5	15	176917
10000	10	4	5	11	415559
10000	10	8	5	6	122346
10000	10	16	5	4	525134
10000	10	32	5	4	505404
10000	100	1	5	304	617486
10000	100	2	5	152	613156
10000	100	4	5	76	476629
10000	100	8	5	56	991336
10000	100	16	5	30	276853
10000	100	32	5	31	427644
10000	1000	1	5	3048	120469
10000	1000	2	5	1524	692635
10000	1000	4	5	762	920338
10000	1000	8	5	383	779908
10000	1000	16	5	283	737970
10000	1000	32	5	291	13839
1000	10	1	10	0	171654
1000	100	1	10	1	712840
1000	1000	1	10	17	88775
10000	10	1	10	59	381484
10000	100	1	10	609	611740
1000	10	1	10	0	171380
1000	10	2	10	0	87002
1000	10	4	10	0	58722
1000	10	8	10	0	48398
1000	10	16	10	0	94432
1000	10	32	10	0	38098
1000	100	1	10	1	709904
1000	100	2	10	0	861977
1000	100	4	10	0	459485
1000	100	8	10	0	432933
1000	100	16	10	0	323462
1000	100	32	10	0	260957
1000	1000	1	10	17	36465
1000	1000	2	10	8	548971
1000	1000	4	10	4	311796
1000	1000	8	10	2	209610
1000	1000	16	10	2	214671
1000	1000	32	10	2	255994
10000	10	1	10	59	343546
10000	10	2	10	30	365432
10000	10	4	10	17	723405
10000	10	8	10	12	224616
10000	10	16	10	9	153924
10000	10	32	10	8	983983
10000	100	1	10	609	137351
1000	10	1	20	0	342431
1000	100	1	20	3	418157
1000	1000	1	20	34	104118
10000	10	1	20	118	800056
10000	100	1	20	1218	876389
1000	10	1	40	0	684263
1000	100	1	40	6	830715
1000	1000	1	40	68	128600
10000	10	1	40	237	595431
10000	100	1	40	2436	324807
