8	439003	1
5	34900	2
3	200550	4
2	327462	8
2	368194	16
2	280757	32
8	348328	1
4	978031	2
3	164632	4
2	243092	8
2	349015	16
2	275004	32
8	426434	1
5	31651	2
3	152950	4
2	307793	8
2	333947	16
2	357823	32
8	500398	1
4	983006	2
3	286796	4
2	293136	8
2	372527	16
2	285665	32
8	392974	1
4	957420	2
3	183697	4
2	230611	8
2	355117	16
2	251493	32
8	416840	1
5	92028	2
3	202606	4
2	286735	8
2	392480	16
2	304334	32
8	447653	1
4	926723	2
3	167596	4
2	235864	8
2	349007	16
2	272487	32
8	415109	1
4	932287	2
3	163359	4
2	237217	8
2	363874	16
2	266100	32
8	650434	1
5	4108	2
3	141393	4
2	264691	8
2	391037	16
2	285102	32
8	366583	1
4	922792	2
3	174281	4
2	245819	8
2	368400	16
2	284654	32
